Timestamp,What is your age?,What is your gender?,Highest Level of Education Completed,Employment Type,How many hours do you work in an average week?,Number of years in current industry,"What is your expected personal income (pre-tax, in USD) this year?",Marital Status,Family Status
8/25/2009 7:50:03,32,Male,Masters/MBA,Small Business,40,6,45000,Married/Partner,0
8/25/2009 7:50:05,28,Male,Bachelors,Small Business,50,8,90000,Married/Partner,0
8/25/2009 7:50:24,28,Male,Bachelors,Self Employed,60,2,0,Single,0
8/25/2009 7:50:28,19,Male,High School,Corporation,30,3,19000,Single,0
8/25/2009 7:50:48,23,Male,Bachelors,Corporation,40,1,42500,Single,0
8/25/2009 7:51:05,28,Male,Some College,Small Business,65,10,38000,Single,1
8/25/2009 7:51:08,16,Male,Some College,Student,0,1,0,Single,0
8/25/2009 7:51:29,28,Male,Masters/MBA,Self Employed,70,7,29000,Single,0
8/25/2009 7:51:33,34,Male,Bachelors,Self Employed,55,13,120000,Married/Partner,1
8/25/2009 7:51:37,20,Male,Some College,Student,0,2,0,Single,0
8/25/2009 7:51:56,23,Male,Bachelors,Small Business,25,5,15000,Single,0
8/25/2009 7:52:07,99,Female,Pre-High School,Self Employed,140,1,1000000,Widowed/Widower,10+
8/25/2009 7:52:14,32,Male,Ph.D/DDS/MD,Government,35,3,75000,Married/Partner,2
8/25/2009 7:52:22,24,Male,Bachelors,Self Employed,25,3,0,Single,0
8/25/2009 7:52:23,28,Male,Bachelors,Large Business,45,4,59000,Single,0
8/25/2009 7:52:26,30,Male,Some College,Government,42,3,100000,Married/Partner,2
8/25/2009 7:52:30,28,Male,Bachelors,Large Business,40,3,55000,Married/Partner,0
8/25/2009 7:52:36,28,Male,Bachelors,Large Business,38,5,44000,Single,0
8/25/2009 7:52:51,21,Male,Some College,Student,24,3,5000,Single,0
8/25/2009 7:52:53,23,Male,Bachelors,Unemployed,50,1,80000,Single,0
8/25/2009 7:52:56,26,Male,Masters/MBA,Government,8,3,85000,Single,0
8/25/2009 7:53:10,25,Male,Masters/MBA,Self Employed,20,2,60000,Single,0
8/25/2009 7:53:14,32,Male,High School,Corporation,43,14,104000,Married/Partner,2
8/25/2009 7:53:21,28,Male,Bachelors,Large Business,40,9,76000,Single,0
8/25/2009 7:53:40,29,Male,Bachelors,Small Business,40,5,82000,Married/Partner,2
8/25/2009 7:54:01,25,Male,Bachelors,Small Business,40,8,70000,Single,0
8/25/2009 7:54:16,26,Male,Bachelors,Small Business,45,4,112000,Married/Partner,0
8/25/2009 7:54:22,23,Male,Associates,Large Business,40,1,50000,Single,0
8/25/2009 7:54:39,21,Female,Bachelors,Student,20,0,5500,Single,0
8/25/2009 7:54:51,24,Male,Masters/MBA,Self Employed,60,0,25000,Single,0
8/25/2009 7:55:03,27,Male,Masters/MBA,Small Business,40,1,60000,Single,0
8/25/2009 7:55:13,21,Male,Bachelors,Small Business,40,1,60000,Single,0
8/25/2009 7:55:16,26,Male,Bachelors,Small Business,40,3,72000,Single,0
8/25/2009 7:55:17,28,Male,Bachelors,Government,50,5,65000,Married/Partner,0
8/25/2009 7:55:26,31,Male,Masters/MBA,Small Business,40,4,76000,Divorced/Seperated,0
8/25/2009 7:55:27,29,Male,Ph.D/DDS/MD,Corporation,35,1,54000,Divorced/Seperated,0
8/25/2009 7:55:29,21,Male,High School,Student,60,7,20000,Single,0
8/25/2009 7:55:42,30,Male,Masters/MBA,Self Employed,55,5,20000,Married/Partner,0
8/25/2009 7:55:45,34,Male,Bachelors,Corporation,40,6,80000,Married/Partner,3
8/25/2009 7:55:51,24,Male,Some College,Large Business,40,5,105000,Single,0
8/25/2009 7:56:01,28,Male,Bachelors,Corporation,40,5,50000,Married/Partner,0
8/25/2009 7:56:07,18,Male,High School,Student,40,2,2500,Single,0
8/25/2009 7:56:38,39,Male,Masters/MBA,Government,40,8,85000,Married/Partner,2
8/25/2009 7:56:39,42,Male,Masters/MBA,Small Business,40,20,81000,Single,0
8/25/2009 7:57:05,36,Male,Bachelors,Self Employed,55,14,153000,Married/Partner,4
8/25/2009 7:57:40,28,Male,Bachelors,Small Business,40,10,110000,Married/Partner,1
8/25/2009 7:58:07,28,Male,Bachelors,Small Business,60,6,80000,Married/Partner,0
8/25/2009 7:58:12,23,Male,Bachelors,Student,10,1,20000,Single,0
8/25/2009 7:58:24,22,Male,Some College,Student,35,0,0,Single,0
8/25/2009 7:58:39,26,Male,High School,Small Business,40,4,50000,Married/Partner,4
8/25/2009 7:58:55,28,Male,Masters/MBA,Small Business,80,12,160000,Married/Partner,0
8/25/2009 8:00:06,25,Male,Masters/MBA,Corporation,55,5,110000,Single,0
8/25/2009 8:00:24,21,Male,Bachelors,Large Business,42,0,75000,Married/Partner,0
8/25/2009 8:00:28,31,Male,Ph.D/DDS/MD,Large Business,40,5,78000,Single,0
8/25/2009 8:00:35,27,Female,Some College,Small Business,35,6,57000,Single,0
8/25/2009 8:00:46,25,Male,Bachelors,Self Employed,40,5,250,Single,0
8/25/2009 8:00:50,23,Male,Some College,Corporation,40,5,85000,Married/Partner,3
8/25/2009 8:01:08,34,Male,Ph.D/DDS/MD,Corporation,40,9,138000,Married/Partner,2
8/25/2009 8:01:25,29,Male,Masters/MBA,Self Employed,35,13,50000,Single,0
8/25/2009 8:01:36,23,Male,High School,Self Employed,60,6,40000,Single,0
8/25/2009 8:01:53,29,Male,High School,Self Employed,60,8,75000,Single,0
8/25/2009 8:01:55,28,Male,Masters/MBA,Large Business,40,6,121000,Married/Partner,0
8/25/2009 8:01:59,24,Male,Some College,Corporation,40,4,26000,Married/Partner,0
8/25/2009 8:02:11,26,Male,Associates,Small Business,42,4,28000,Married/Partner,0
8/25/2009 8:02:16,25,Male,Bachelors,Corporation,55,4,55000,Single,0
8/25/2009 8:02:17,26,Male,Masters/MBA,Small Business,50,1,70000,Married/Partner,0
8/25/2009 8:02:26,21,Male,Bachelors,Government,38,2,12000,Single,0
8/25/2009 8:02:27,25,Male,Bachelors,Corporation,60,4,5000,Single,0
8/25/2009 8:02:39,22,Male,Some College,Student,35,0,0,Single,0
8/25/2009 8:02:42,22,Male,Some College,Student,35,0,0,Single,0
8/25/2009 8:02:45,22,Male,Some College,Student,35,0,0,Single,0
8/25/2009 8:02:48,22,Male,Some College,Student,35,0,0,Single,0
8/25/2009 8:02:50,22,Male,Some College,Student,35,0,0,Single,0
8/25/2009 8:02:53,22,Male,Some College,Student,35,0,0,Single,0
8/25/2009 8:02:55,22,Male,Some College,Student,35,0,0,Single,0
8/25/2009 8:02:57,22,Male,Some College,Student,35,0,0,Single,0
8/25/2009 8:02:59,22,Male,Some College,Student,35,0,0,Single,0
8/25/2009 8:03:01,22,Male,Some College,Student,35,0,0,Single,0
8/25/2009 8:03:04,22,Male,Some College,Student,35,0,0,Single,0
8/25/2009 8:03:11,25,Male,Bachelors,Government,40,8,50000,Single,0
8/25/2009 8:03:17,23,Male,Bachelors,Large Business,40,1,42500,Married/Partner,0
8/25/2009 8:03:27,27,Male,Some College,Small Business,65,10,40000,Single,0
8/25/2009 8:03:32,22,Male,Some College,Student,-4,70,10000000,Single,0
8/25/2009 8:03:34,22,Male,Some College,Student,-4,70,10000000,Single,0
8/25/2009 8:03:37,22,Male,Some College,Student,-4,70,10000000,Single,0
8/25/2009 8:03:38,23,Male,Bachelors,Small Business,55,9,40000,Single,0
8/25/2009 8:03:39,22,Male,Some College,Student,-4,70,10000000,Single,0
8/25/2009 8:03:41,22,Male,Some College,Student,-4,70,10000000,Single,0
8/25/2009 8:03:43,28,Male,Some College,Small Business,40,10,49000,Single,0
8/25/2009 8:03:47,25,Male,Bachelors,Small Business,50,5,82000,Married/Partner,1
8/25/2009 8:03:50,23,Male,Bachelors,Small Business,50,4,30000,Single,0
8/25/2009 8:03:54,24,Male,Bachelors,Government,40,2,63000,Single,0
8/25/2009 8:04:15,14,Male,Pre-High School,Student,0,0,0,Single,0
8/25/2009 8:04:22,43,Male,Bachelors,Self Employed,30,27,40000,Married/Partner,2
8/25/2009 8:04:31,43,Male,Bachelors,Large Business,40,14,80000,Married/Partner,3
8/25/2009 8:04:32,29,Male,Masters/MBA,Small Business,70,6,100000,Married/Partner,2
8/25/2009 8:04:46,26,Male,Bachelors,Small Business,35,5,73900,Single,0
8/25/2009 8:04:47,24,Male,Some College,Large Business,25,0,26400,Single,0
8/25/2009 8:04:53,24,Male,Bachelors,Large Business,35,2,93000,Single,0
8/25/2009 8:05:01,29,Male,Masters/MBA,Student,30,11,41000,Single,0
8/25/2009 8:05:11,407,Female,Pre-High School,Small Business,40,900,10,Divorced/Seperated,10+
8/25/2009 8:05:33,24,Male,Bachelors,Self Employed,8,10,75000,Single,0
8/25/2009 8:05:36,407,Female,Pre-High School,Small Business,13,700,11,Divorced/Seperated,8
8/25/2009 8:05:36,21,Male,Some College,Student,25,0,10000,Single,0
8/25/2009 8:05:42,24,Male,Masters/MBA,Large Business,60,3,70000,Single,0
8/25/2009 8:06:20,23,Male,Some College,Self Employed,60,10,17000,Single,0
8/25/2009 8:06:31,27,Male,Bachelors,Corporation,45,4,78000,Single,0
8/25/2009 8:06:33,19,Male,Some College,Student,42,1,3000,Single,0
8/25/2009 8:06:33,23,Male,Some College,Small Business,60,3,110000,Single,0
8/25/2009 8:07:12,25,Male,Pre-High School,Corporation,40,10,62500,Single,0
8/25/2009 8:07:35,20,Male,Some College,Self Employed,80,12,30000,Single,1
8/25/2009 8:07:36,26,Male,Bachelors,Small Business,45,3,60000,Married/Partner,0
8/25/2009 8:07:47,27,Male,Bachelors,Corporation,42,1,40000,Single,0
8/25/2009 8:09:00,42,Male,Some College,Small Business,45,18,40000,Married/Partner,0
8/25/2009 8:09:13,29,Male,Bachelors,Corporation,43,3,50000,Single,0
8/25/2009 8:09:28,30,Male,Bachelors,Government,40,8,65000,Married/Partner,0
8/25/2009 8:09:39,29,Male,Bachelors,Self Employed,40,12,109500,Married/Partner,0
8/25/2009 8:09:46,22,Male,Bachelors,Student,45,4,0,Single,0
8/25/2009 8:09:51,35,Male,Some College,Self Employed,50,5,60000,Single,0
8/25/2009 8:10:26,24,Male,Bachelors,Corporation,45,2,41718,Single,0
8/25/2009 8:10:37,31,Male,Some College,Small Business,50,8,90000,Married/Partner,0
8/25/2009 8:11:03,24,Male,Some College,Small Business,40,3,43000,Single,0
8/25/2009 8:11:03,36,Male,Some College,Small Business,40,17,245000,Married/Partner,3
8/25/2009 8:11:52,24,Male,Bachelors,Student,45,6,6000,Single,0
8/25/2009 8:12:03,20,Male,Some College,Student,15,2,10000,Single,0
8/25/2009 8:12:10,18,Male,High School,Unemployed,20,3,10000,Single,0
8/25/2009 8:12:14,32,Male,Bachelors,Small Business,60,3,120000,Married/Partner,1
8/25/2009 8:12:17,24,Male,Masters/MBA,Small Business,60,1,18000,Single,0
8/25/2009 8:12:45,24,Male,Masters/MBA,Student,40,4,20000,Single,0
8/25/2009 8:12:49,26,Male,Masters/MBA,Student,20,4,17000,Single,0
8/25/2009 8:13:22,22,Male,Bachelors,Corporation,50,1,36000,Single,0
8/25/2009 8:13:31,34,Male,Bachelors,Self Employed,40,13,150000,Married/Partner,0
8/25/2009 8:13:36,24,Male,Bachelors,Student,50,4,10000,Single,0
8/25/2009 8:13:37,21,Male,Some College,Corporation,40,1,48000,Single,0
8/25/2009 8:13:38,16,Male,Pre-High School,Student,0,0,0,Married/Partner,0
8/25/2009 8:14:08,23,Male,Bachelors,Corporation,100,2,57000,Single,0
8/25/2009 8:14:26,39,Male,Ph.D/DDS/MD,Self Employed,60,21,100000,Divorced/Seperated,2
8/25/2009 8:14:28,36,Male,Bachelors,Small Business,45,12,145000,Married/Partner,2
8/25/2009 8:14:39,22,Male,Some College,Self Employed,45,9,15000,Single,0
8/25/2009 8:14:46,34,Male,Associates,Small Business,50,2,100000,Married/Partner,2
8/25/2009 8:14:48,27,Male,Ph.D/DDS/MD,Small Business,40,5,360000,Married/Partner,0
8/25/2009 8:15:07,31,Male,Masters/MBA,Corporation,45,3,85000,Married/Partner,0
8/25/2009 8:15:16,24,Male,High School,Small Business,45,6,60000,Single,0
8/25/2009 8:15:18,33,Male,Masters/MBA,Corporation,45,10,90000,Married/Partner,2
8/25/2009 8:16:03,38,Male,Some College,Small Business,45,16,200000,Single,0
8/25/2009 8:16:04,23,Male,Bachelors,Government,40,1,63000,Single,0
8/25/2009 8:16:31,25,Male,Bachelors,Self Employed,35,3,66000,Single,0
8/25/2009 8:16:36,26,Male,Bachelors,Large Business,40,5,55000,Single,0
8/25/2009 8:17:05,27,Male,Bachelors,Unemployed,40,3,15000,Single,0
8/25/2009 8:17:09,22,Male,Bachelors,Student,30,5,1500,Single,0
8/25/2009 8:17:19,23,Male,Bachelors,Student,40,1,16000,Single,0
8/25/2009 8:17:37,25,Male,Bachelors,Small Business,50,1,73000,Married/Partner,0
8/25/2009 8:18:00,24,Male,Bachelors,Large Business,35,8,50000,Single,0
8/25/2009 8:18:03,22,Male,Bachelors,Small Business,55,1,60000,Single,0
8/25/2009 8:18:28,33,Male,Bachelors,Government,40,2,120000,Married/Partner,3
8/25/2009 8:18:30,20,Male,Bachelors,Self Employed,100,3,45000,Married/Partner,0
8/25/2009 8:18:45,23,Male,Bachelors,Small Business,45,1,83000,Married/Partner,0
8/25/2009 8:19:16,26,Male,Bachelors,Student,20,3,0,Single,0
8/25/2009 8:19:54,34,Male,Bachelors,Corporation,65,10,120000,Married/Partner,2
8/25/2009 8:20:00,26,Male,Masters/MBA,Small Business,40,3,57000,Married/Partner,0
8/25/2009 8:20:01,28,Male,Masters/MBA,Large Business,40,4,36000,Single,0
8/25/2009 8:20:21,30,Male,Bachelors,Unemployed,0,3,30000,Single,0
8/25/2009 8:20:21,20,Male,High School,Corporation,40,2,24000,Single,0
8/25/2009 8:20:32,26,Male,Bachelors,Small Business,40,1,32000,Single,0
8/25/2009 8:20:53,32,Male,Bachelors,Small Business,45,5,85000,Married/Partner,0
8/25/2009 8:21:07,35,Male,Ph.D/DDS/MD,Self Employed,60,2,10000,Married/Partner,0
8/25/2009 8:21:11,30,Male,Masters/MBA,Small Business,50,10,"1,00,000",Single,0
8/25/2009 8:21:18,25,Male,Some College,Self Employed,50,8,60000,Married/Partner,0
8/25/2009 8:21:27,35,Male,Masters/MBA,Small Business,40,11,90000,Married/Partner,3
8/25/2009 8:21:51,21,Male,Some College,Self Employed,65,1,0,Single,0
8/25/2009 8:21:51,27,Male,Masters/MBA,Small Business,30,2,30000,Single,0
8/25/2009 8:21:59,27,Male,Bachelors,Small Business,40,5,46000,Married/Partner,0
8/25/2009 8:21:59,24,Male,Associates,Small Business,40,5,77000,Single,0
8/25/2009 8:22:02,26,Male,High School,Small Business,40,8,120000,Married/Partner,0
8/25/2009 8:22:04,26,Male,Associates,Large Business,42,5,60000,Single,0
8/25/2009 8:22:11,27,Male,Bachelors,Government,45,5,100000,Single,0
8/25/2009 8:22:11,32,Female,Masters/MBA,Small Business,32,1,57000,Married/Partner,1
8/25/2009 8:22:17,20,Male,Some College,Student,40,4,5000,Single,0
8/25/2009 8:22:26,23,Male,Bachelors,Small Business,60,3,80000,Single,0
8/25/2009 8:22:35,30,Male,Bachelors,Small Business,45,8,67000,Single,0
8/25/2009 8:22:42,24,Female,Masters/MBA,Small Business,45,2,40000,Single,0
8/25/2009 8:22:45,45,Male,Some College,Small Business,30,15,600000,Married/Partner,2
8/25/2009 8:22:48,30,Male,Masters/MBA,Corporation,6,6,"1,10,000",Married/Partner,0
8/25/2009 8:23:38,26,Male,Bachelors,Self Employed,70,3,600,Single,0
8/25/2009 8:23:40,32,Male,Bachelors,Small Business,40,10,160000,Single,0
8/25/2009 8:23:44,26,Male,Bachelors,Small Business,50,4,54000,Single,0
8/25/2009 8:24:16,30,Male,Some College,Self Employed,60,7,75000,Married/Partner,4
8/25/2009 8:24:19,25,Male,Some College,Small Business,55,5,80000,Married/Partner,0
8/25/2009 8:24:27,31,Male,Masters/MBA,Small Business,45,8,40000,Single,0
8/25/2009 8:24:44,44,Male,Bachelors,Corporation,60,25,500000,Married/Partner,2
8/25/2009 8:24:50,26,Male,Masters/MBA,Small Business,50,1,51000,Married/Partner,0
8/25/2009 8:24:51,17,Male,High School,Self Employed,40,5,20000,Single,0
8/25/2009 8:24:52,23,Male,Bachelors,Small Business,45,2,60000,Single,0
8/25/2009 8:24:53,24,Male,Masters/MBA,Student,40,2,25000,Single,0
8/25/2009 8:24:56,28,Male,Masters/MBA,Small Business,35,5,78000,Married/Partner,0
8/25/2009 8:25:06,23,Male,Some College,Small Business,50,6,50000,Single,0
8/25/2009 8:25:13,25,Male,Bachelors,Small Business,40,3,80000,Single,0
8/25/2009 8:25:20,33,Male,Some College,Self Employed,60,17,100000,Married/Partner,0
8/25/2009 8:25:52,28,Male,Bachelors,Corporation,50,3,70000,Single,0
8/25/2009 8:26:05,23,Male,Bachelors,Student,20,4,15000,Single,0
8/25/2009 8:26:09,25,Male,Masters/MBA,Small Business,40,3,52000,Single,0
8/25/2009 8:26:10,20,Male,Some College,Student,25,4,15000,Single,0
8/25/2009 8:26:29,19,Male,Some College,Student,0,0,5000,Single,0
8/25/2009 8:26:35,23,Male,Some College,Self Employed,35,4,90000,Single,0
8/25/2009 8:26:40,26,Male,Masters/MBA,Large Business,40,1,75000,Single,0
8/25/2009 8:27:41,27,Male,High School,Small Business,50,3,38000,Single,0
8/25/2009 8:27:53,23,Male,Some College,Government,50,3,55000,Single,0
8/25/2009 8:28:23,15,Male,High School,Student,35,10,0,Single,0
8/25/2009 8:28:27,26,Male,Bachelors,Small Business,60,3,85000,Single,0
8/25/2009 8:28:43,22,Male,Bachelors,Small Business,60,1,60000,Single,0
8/25/2009 8:28:51,23,Male,Bachelors,Small Business,45,5,75000,Single,0
8/25/2009 8:29:03,18,Male,High School,Student,8,1,3600,Single,0
8/25/2009 8:29:22,24,Male,Bachelors,Small Business,40,2,35000,Single,0
8/25/2009 8:29:28,22,Male,Bachelors,Self Employed,60,5,30000,Single,0
8/25/2009 8:29:33,28,Male,Masters/MBA,Government,80,1,66666,Single,0
8/25/2009 8:29:37,17,Male,Pre-High School,Student,5,3,12500,Single,0
8/25/2009 8:29:39,38,Male,Some College,Self Employed,50,18,110000,Married/Partner,0
8/25/2009 8:29:40,28,Male,Bachelors,Small Business,40,10,84000,Married/Partner,0
8/25/2009 8:29:58,24,Male,Bachelors,Corporation,50,2,90000,Single,0
8/25/2009 8:30:12,30,Male,Bachelors,Large Business,40,8,100000,Single,0
8/25/2009 8:31:11,21,Male,Some College,Student,10,2,7000,Single,0
8/25/2009 8:31:13,28,Male,Bachelors,Small Business,50,5,40000,Single,0
8/25/2009 8:31:15,31,Male,Some College,Corporation,37,5,135000,Single,0
8/25/2009 8:31:17,23,Male,Bachelors,Unemployed,0,0,0,Single,0
8/25/2009 8:31:24,25,Male,Bachelors,Corporation,40,3,85000,Married/Partner,0
8/25/2009 8:31:33,51,Male,Bachelors,Self Employed,50,15,20000,Married/Partner,0
8/25/2009 8:31:42,40,Male,Some College,Corporation,45,20,103000,Married/Partner,2
8/25/2009 8:31:56,25,Male,Some College,Small Business,40,10,25715,Single,0
8/25/2009 8:32:07,35,Male,Bachelors,Self Employed,65,10,45000,Single,0
8/25/2009 8:32:16,36,Male,Bachelors,Small Business,45,10,83000,Married/Partner,2
8/25/2009 8:32:17,24,Male,Bachelors,Corporation,40,2,56125,Single,0
8/25/2009 8:32:20,26,Male,Bachelors,Corporation,40,4,60000,Married/Partner,1
8/25/2009 8:32:33,12,Female,Pre-High School,Student,42,12,690000,Single,0
8/25/2009 8:32:46,26,Male,Bachelors,Corporation,50,5,85000,Single,0
8/25/2009 8:32:58,22,Male,Bachelors,Government,15,2,1000,Single,0
8/25/2009 8:33:24,33,Male,Masters/MBA,Corporation,42,8,135000,Single,0
8/25/2009 8:33:30,28,Male,Bachelors,Corporation,40,4,65000,Married/Partner,0
8/25/2009 8:33:50,22,Male,Bachelors,Small Business,40,5,10000,Single,0
8/25/2009 8:34:05,35,Male,Bachelors,Small Business,40,10,999999,Married/Partner,10+
8/25/2009 8:34:06,34,Male,Masters/MBA,Self Employed,40,12,130000,Married/Partner,2
8/25/2009 8:34:07,29,Male,Bachelors,Corporation,45,2,86000,Married/Partner,1
8/25/2009 8:34:07,23,Male,Bachelors,Small Business,40,1,52500,Single,0
8/25/2009 8:34:24,32,Male,High School,Self Employed,40,5,10000,Divorced/Seperated,1
8/25/2009 8:34:38,21,Male,Some College,Self Employed,15,0,500,Single,0
8/25/2009 8:34:40,25,Male,Some College,Student,60,18,0,Single,0
8/25/2009 8:34:45,33,Male,Masters/MBA,Corporation,40,15,32000,Single,0
8/25/2009 8:34:51,25,Male,Masters/MBA,Self Employed,40,1,80000,Single,0
8/25/2009 8:34:52,23,Male,Some College,Large Business,55,2,13039,Single,0
8/25/2009 8:35:10,24,Male,Bachelors,Corporation,80,3,100000,Single,0
8/25/2009 8:35:21,26,Male,Associates,Small Business,70,5,90000,Married/Partner,0
8/25/2009 8:35:40,27,Male,Bachelors,Large Business,40,6,680000,Married/Partner,0
8/25/2009 8:35:42,25,Male,Bachelors,Small Business,65,10,45000,Married/Partner,0
8/25/2009 8:35:47,23,Male,Bachelors,Small Business,40,3,50000,Single,0
8/25/2009 8:36:25,27,Male,Masters/MBA,Self Employed,40,1,30000,Single,0
8/25/2009 8:36:31,25,Male,Bachelors,Corporation,40,3,54000,Married/Partner,0
8/25/2009 8:36:33,37,Male,Masters/MBA,Small Business,40,19,-1,Married/Partner,0
8/25/2009 8:36:38,37,Male,Bachelors,Government,50,10,90000,Married/Partner,1
8/25/2009 8:36:40,38,Male,Bachelors,Government,40,10,139122,Married/Partner,2
8/25/2009 8:37:15,30,Male,Bachelors,Small Business,45,9,80000,Married/Partner,0
8/25/2009 8:37:14,42,Male,Masters/MBA,Corporation,35,7,100000,Single,0
8/25/2009 8:37:20,28,Male,Masters/MBA,Government,45,2,80000,Single,0
8/25/2009 8:37:45,25,Male,Bachelors,Self Employed,60,2,18000,Married/Partner,0
8/25/2009 8:37:54,45,Male,Bachelors,Small Business,55,20,60000,Married/Partner,0
8/25/2009 8:37:56,37,Male,Bachelors,Unemployed,0,1,22000,Single,1
8/25/2009 8:38:09,24,Male,Bachelors,Small Business,45,2,85000,Single,0
8/25/2009 8:38:10,28,Male,Associates,Small Business,45,9,90000,Married/Partner,0
8/25/2009 8:38:17,24,Male,Bachelors,Small Business,45,4,75000,Single,0
8/25/2009 8:38:33,30,Male,Masters/MBA,Government,50,5,120000,Married/Partner,0
8/25/2009 8:38:34,22,Male,Some College,Self Employed,55,7,75000,Single,0
8/25/2009 8:38:36,54,Male,Bachelors,Self Employed,15,30,5000,Single,0
8/25/2009 8:38:42,17,Male,Some College,Government,10,3,2500,Single,0
8/25/2009 8:38:55,26,Male,Some College,Small Business,40,10,92678,Single,0
8/25/2009 8:38:57,32,Male,Associates,Small Business,40,10,46000,Married/Partner,2
8/25/2009 8:39:00,24,Male,Bachelors,Small Business,40,5,60000,Married/Partner,0
8/25/2009 8:39:01,23,Male,Some College,Small Business,50,5,60000,Married/Partner,0
8/25/2009 8:39:50,32,Male,Bachelors,Small Business,50,10,95000,Married/Partner,1
8/25/2009 8:40:16,31,Male,Masters/MBA,Student,20,6,30000,Single,0
8/25/2009 8:40:20,24,Male,Bachelors,Small Business,50,2,75000,Single,0
8/25/2009 8:40:29,21,Male,Bachelors,Self Employed,80,1,100000,Single,0
8/25/2009 8:40:40,38,Male,Ph.D/DDS/MD,Government,65,13,86000,Married/Partner,2
8/25/2009 8:40:49,16,Male,Pre-High School,Student,30,1,5000,Single,0
8/25/2009 8:41:05,36,Male,Some College,Corporation,55,15,115000,Single,0
8/25/2009 8:41:08,32,Male,Some College,Small Business,42,13,95000,Married/Partner,2
8/25/2009 8:41:18,21,Male,Some College,Self Employed,20,4,60000,Married/Partner,0
8/25/2009 8:41:22,16,Male,Pre-High School,Self Employed,30,2,NA,Single,0
8/25/2009 8:41:33,24,Male,Bachelors,Corporation,40,3,75000,Single,0
8/25/2009 8:41:36,19,Male,Some College,Student,50,2,40 000,Single,0
8/25/2009 8:41:49,30,Male,Masters/MBA,Large Business,35,8,138000,Single,0
8/25/2009 8:41:59,29,Male,Bachelors,Self Employed,50,5,200000,Married/Partner,0
8/25/2009 8:42:12,35,Male,Bachelors,Small Business,45,12,88000,Married/Partner,2
8/25/2009 8:42:17,23,Male,Some College,Small Business,70,2,300000,Single,0
8/25/2009 8:42:37,28,Male,Some College,Small Business,40,10,80000,Single,0
8/25/2009 8:42:40,24,Male,Bachelors,Small Business,40,2,125000,Married/Partner,0
8/25/2009 8:42:41,26,Male,Bachelors,Small Business,70,7,70000,Single,0
8/25/2009 8:42:47,29,Male,Some College,Corporation,50,5,70000,Married/Partner,0
8/25/2009 8:42:48,26,Male,Bachelors,Small Business,55,3,60000,Single,0
8/25/2009 8:43:01,24,Male,Ph.D/DDS/MD,Corporation,50,10,150000,Single,0
8/25/2009 8:43:09,30,Male,Some College,Small Business,50,10,55000,Married/Partner,0
8/25/2009 8:43:17,33,Male,Bachelors,Corporation,50,10,20000,Married/Partner,1
8/25/2009 8:43:23,25,Male,Bachelors,Self Employed,40,7,100000,Married/Partner,0
8/25/2009 8:43:31,26,Male,Bachelors,Self Employed,20,8,20000,Single,0
8/25/2009 8:43:35,23,Male,High School,Small Business,55,5,16000,Single,0
8/25/2009 8:43:36,30,Male,Bachelors,Self Employed,70,5,50000,Married/Partner,0
8/25/2009 8:43:44,39,Male,Bachelors,Small Business,50,15,100000,Married/Partner,6
8/25/2009 8:43:44,19,Male,Some College,Small Business,15,2,10000,Single,0
8/25/2009 8:44:02,33,Male,Some College,Corporation,40,10,100000,Married/Partner,0
8/25/2009 8:44:08,28,Male,Bachelors,Self Employed,40,7,90000,Single,0
8/25/2009 8:44:19,25,Male,Bachelors,Small Business,48,1,58000,Married/Partner,0
8/25/2009 8:44:21,19,Male,Bachelors,Corporation,35,1,100000,Single,0
8/25/2009 8:44:40,43,Male,Some College,Corporation,50,15,115000,Divorced/Seperated,2
8/25/2009 8:44:51,30,Male,Some College,Student,0,0,10000,Single,0
8/25/2009 8:45:22,37,Male,Bachelors,Corporation,50,13,100000,Married/Partner,4
8/25/2009 8:46:01,25,Male,High School,Self Employed,30,7,30000,Married/Partner,0
8/25/2009 8:47:03,23,Male,Bachelors,Government,40,1,62500,Single,0
8/25/2009 8:47:04,22,Male,Some College,Small Business,50,5,50000,Married/Partner,1
8/25/2009 8:47:15,28,Male,High School,Small Business,45,14,250000,Single,0
8/25/2009 8:47:33,34,Male,Some College,Self Employed,45,7,20000,Single,0
8/25/2009 8:47:49,23,Male,Bachelors,Small Business,40,5,45000,Single,0
8/25/2009 8:47:52,24,Male,Bachelors,Student,25,2,20000,Single,0
8/25/2009 8:48:08,23,Male,Bachelors,Self Employed,50,2,20,Married/Partner,0
8/25/2009 8:48:15,25,Male,Bachelors,Large Business,40,5,70000,Married/Partner,2
8/25/2009 8:48:28,32,Male,Some College,Small Business,60,12,35000,Single,0
8/25/2009 8:48:31,20,Male,Some College,Small Business,40,3,40000,Single,0
8/25/2009 8:48:32,17,Male,Some College,Small Business,60,3,20000,Single,0
8/25/2009 8:48:36,31,Male,Bachelors,Small Business,40,9,76000,Married/Partner,1
8/25/2009 8:48:37,28,Male,Some College,Small Business,40,9,70000,Married/Partner,1
8/25/2009 8:48:42,27,Male,Masters/MBA,Self Employed,50,5,80000,Single,0
8/25/2009 8:48:55,35,Male,Bachelors,Self Employed,25,14,120000,Married/Partner,2
8/25/2009 8:50:06,30,Male,Masters/MBA,Small Business,60,12,70000,Married/Partner,0
8/25/2009 8:50:22,26,Male,Bachelors,Small Business,45,4,60000,Married/Partner,0
